"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"4";1;6;7;7;36,53808594;108,1806641;178861265;183421331;49;346;65;0,164209273195889;0,227272727272727;70;0,125567565169332;0,227272727272727;0;4
"9";1;67;7;70;36,53808594;0,798095703;178861265;3218891;49;397;1093;0,147253857442828;0,166666666666667;1096;0,102088207053464;0,166666666666667;0;9
"11";1;182;7;1;36,53808594;1,797607422;178861265;7556996;49;1435;74;0,915181107032003;0,916666666666667;81;0,605321263195155;0,666666666666667;0;11
"22";1;0;7;34;36,53808594;0,13671875;178861265;26741;49;204;490;0,214967526699075;0,0476190476190477;488;0,16168982144131;0,0476190476190477;0;22
"23";1;5;7;48;36,53808594;0,04296875;178861265;187;49;267;732;0,225994745516637;0,166666666666667;730;0,183170243971436;0,166666666666667;0;23
"26";1;0;7;7;36,53808594;0,02734375;178861265;300076;49;26;67;0,215634677150123;0,272727272727273;74;0,185400589795094;0,272727272727273;0;26
"29";1;0;7;19;36,53808594;0,033203125;178861265;1124;49;153;193;0,129645592582303;0,181818181818182;194;0,0959544965143468;0,181818181818182;0;29
"36";1;20;7;65;36,53808594;8,503417969;178861265;41627253;49;650;1032;0,177814744438089;0,2;1030;0,132078648123365;0,2;0;36
"39";1;4;7;19;36,53808594;0,009277344;178861265;1;49;138;259;0,136241709754359;0,0476190476190477;261;0,102619815697321;0,0476190476190477;0;39
"44";1;112;7;114;36,53808594;53,31005859;178861265;247045695;49;941;1877;0,178915701943335;0,2;1874;0,137834134532724;0,2;0;44
"66";1;0;7;9;36,53808594;0,006225586;178861265;27941;49;41;73;0,226699425975964;0,272727272727273;81;0,214393309433389;0,272727272727273;0;66
"73";1;1;7;7;36,53808594;6,84375;178861265;31823603;49;49;0;0;0;0;0;0;1;73
"84";1;43;7;218;36,53808594;82,92541504;178861265;555415048;49;2898;3916;0,217562894511918;0,259259259259259;3916;0,172189029058594;0,259259259259259;0;84
"87";37;115;37;116;0,096191406;32,54589844;267565;94950263;225;1550;1362;0,0234462186554917;0,185185185185185;1363;0,0244295274084508;0,185185185185185;0;87
"92";37;42;37;43;0,096191406;1,466552734;267565;8037560;225;385;443;0,0307593851962467;0,0833333333333334;449;0,0303915250880828;0,0833333333333334;0;92
"99";37;0;37;4;0,096191406;0,010986328;267565;10597;225;196;536;0,18773974466077;0,434782608695652;535;0,175667179484886;0,391304347826087;0;99
"109";37;0;37;2;0,096191406;0,002685547;267565;18940;225;11;562;0,145895863971894;0,454545454545455;561;0,199130288918625;0,454545454545455;0;109
"111";37;0;37;15;0,096191406;1,53515625;267565;13208944;225;254;431;0,0424331497136146;0,125;435;0,044969937651317;0,125;0;111
"115";37;2;37;10;0,096191406;0,009277344;267565;3608;225;48;472;0,051995181394238;0,0454545454545454;474;0,0608249407594729;0,0454545454545454;0;115
"118";37;30;37;30;0,096191406;0,030273438;267565;49;225;198;413;0,025758661363447;0,16;418;0,0255540827885359;0,16;0;118
"119";37;0;37;4;0,096191406;0,017578125;267565;0;225;35;532;0,123466529188277;0,434782608695652;533;0,127510924511403;0,304347826086957;0;119
"120";37;20;37;65;0,096191406;8,503417969;267565;41627253;225;650;795;0,0307399012965816;0,12;798;0,0321914494216697;0,12;0;120
"127";37;1;37;18;0,096191406;0,004394531;267565;379731;225;199;443;0,0303712746808451;0,0909090909090909;448;0,0289131623373382;0,0909090909090909;0;127
"133";37;0;37;3;0,096191406;70,88671875;267565;128962977;225;234;546;0,123008563365536;0,363636363636364;548;0,0955579638223149;0,304347826086957;0;133
"137";37;0;37;32;0,096191406;0,296875;267565;0;225;662;425;0,03004024247852;0,0833333333333334;430;0,0316041501977775;0,0833333333333334;0;137
"141";37;29;37;71;0,096191406;0,123535156;267565;10526;225;454;964;0,0149677484504999;0,12;969;0,0151485191941918;0,12;1;141
"148";37;6;37;9;0,096191406;0,016802619;267565;6141;225;71;497;0,0682292302952869;0,136363636363636;499;0,0619903979852148;0,136363636363636;0;148
"161";37;52;37;52;0,096191406;18,08862305;267565;61922864;225;644;625;0,033546367129296;0,12;630;0,0347707784507861;0,12;0;161
"165";37;0;37;17;0,096191406;0;267565;371368;225;185;450;0,0342969674842735;0,0909090909090909;453;0,0325823872001305;0,0909090909090909;0;165
"167";37;43;37;103;0,096191406;1113,821533;267565;4948191785;225;1715;1367;0,0246176850638901;0;1373;0,025579220469005;0;0;167
"169";1;1;5;7;110,0444336;36,53808594;324500732;178861265;257;49;60;0,33068609866818;0,333333333333333;68;0,255278892750063;0,285714285714286;0;169
"172";1;6;5;7;110,0444336;108,1806641;324500732;183421331;257;346;70;0,41347250743461;0,454545454545455;76;0,33378650272451;0,409090909090909;0;172
"173";1;0;5;3;110,0444336;0,005859375;324500732;0;257;234;41;0,407440538721517;0,388888888888889;50;0,326770908180624;0,5;0;173
"174";1;21;5;23;110,0444336;25,47961426;324500732;191401724;257;266;248;0,287818392174201;0,391304347826087;254;0,243021762154756;0,347826086956522;0;174
"186";1;0;5;20;110,0444336;0,01953125;324500732;400;257;107;219;0,29988079647781;0,318181818181818;222;0,245013332693772;0,272727272727273;0;186
"188";1;0;5;5;110,0444336;0,004882813;324500732;0;257;78;43;0,362868140964031;0,277777777777778;51;0,365559634591654;0,315789473684211;0;188
"189";1;19;5;20;110,0444336;0,102783203;324500732;3853621;257;236;201;0,338347640696745;0,333333333333333;205;0,279953291562348;0,285714285714286;0;189
"200";1;2;5;33;110,0444336;0,077636719;324500732;101813;257;264;413;0,317374007622957;0,375;413;0,264788917800366;0,36;0;200
"203";1;0;5;4;110,0444336;0,017578125;324500732;0;257;35;45;0,492365624123795;0,55;54;0,401419191237743;0,35;0;203
"206";1;5;5;17;110,0444336;0,056640625;324500732;387853;257;126;193;0,339721605953126;0,318181818181818;194;0,284488580564327;0,272727272727273;0;206
"207";1;4;5;19;110,0444336;0,009277344;324500732;1;257;138;266;0,256879530672968;0,285714285714286;263;0,198449276163211;0,238095238095238;0;207
"211";1;1;5;18;110,0444336;0,004394531;324500732;379731;257;199;175;0,332204400902968;0,333333333333333;181;0,275714031659852;0,285714285714286;0;211
"212";1;112;5;114;110,0444336;53,31005859;324500732;247045695;257;941;1904;0,298804128624463;0,4;1902;0,270197577715498;0,36;0;212
"213";1;97;5;99;110,0444336;0,277832031;324500732;1068597;257;690;1714;0,301241393337237;0,4;1717;0,270475666603913;0,36;0;213
"216";1;0;5;1;110,0444336;7,303710938;324500732;0;257;81;44;0,168723325114254;0,5;48;0,169460465500078;0,388888888888889;0;216
"222";1;0;5;1;110,0444336;0,006835938;324500732;23656;257;16;46;0,447270765364988;0,666666666666667;50;0,341987044532798;0,526315789473684;0;222
"224";1;1;5;55;110,0444336;222,0068359;324500732;1232589939;257;1506;905;0,352117186583852;0,375;903;0,274124018263983;0,333333333333333;0;224
"235";1;1;5;16;110,0444336;0,014648438;324500732;0;257;67;157;0,269428775215046;0,347826086956522;161;0,218117832569317;0,304347826086957;0;235
"240";1;0;5;10;110,0444336;0,017496245;324500732;58928;257;96;128;0,387422498302493;0,315789473684211;130;0,349947765413831;0,263157894736842;0;240
"246";1;0;5;81;110,0444336;2,236083984;324500732;11850966;257;576;1382;0,255110622076267;0,4;1384;0,221213088990687;0,36;0;246
"249";1;0;5;17;110,0444336;0;324500732;371368;257;185;161;0,340884880547379;0,333333333333333;166;0,280111419789419;0,285714285714286;0;249
"250";1;134;5;158;110,0444336;1159,860352;324500732;8782694323;257;1091;2572;0,287206561465683;0,444444444444444;2568;0,233964001295773;0,407407407407407;0;250
"263";115;182;116;1;32,54589844;1,797607422;94950263;7556996;1550;1435;1766;0,880901293688729;0,9;1764;0,5134654904883;0,7;0;263
"273";115;19;116;20;32,54589844;0,102783203;94950263;3853621;1550;236;1553;0,0451497174580658;0,259259259259259;1552;0,0434082067747765;0,259259259259259;0;273
"275";115;5;116;48;32,54589844;0,04296875;94950263;187;1550;267;1277;0,0290843929139034;0,111111111111111;1279;0,0288242104443341;0,111111111111111;0;275
"277";115;0;116;2;32,54589844;0,002685547;94950263;18940;1550;11;1753;0,178270981422704;0,555555555555556;1749;0,232145116527342;0,555555555555556;0;277
"278";115;0;116;7;32,54589844;0,02734375;94950263;300076;1550;26;1683;0,098343111935424;0,333333333333333;1678;0,102955845096322;0,333333333333333;0;278
"289";115;21;116;22;32,54589844;0,544921875;94950263;1976882;1550;182;1489;0,0534803608437699;0,148148148148148;1488;0,0530264204285436;0,148148148148148;0;289
"293";115;25;116;45;32,54589844;791,5610352;94950263;2803997559;1550;1044;1324;0,0217788468836205;0,0740740740740741;1327;0,0208992930467239;0,0740740740740741;0;293
"306";115;0;116;1;32,54589844;0,006835938;94950263;23656;1550;16;1755;0,29566084121946;0,666666666666667;1746;0,263820184606666;0,555555555555556;0;306
"313";115;0;116;3;32,54589844;0,001464844;94950263;0;1550;12;1710;0,13650002824553;0,407407407407407;1710;0,140956227515034;0,407407407407407;0;313
"321";115;60;116;233;32,54589844;23,05102539;94950263;75866302;1550;1791;2836;0,0240424306884551;0;2846;0,0244038915587361;0;0;321
"325";115;1;116;7;32,54589844;6,84375;94950263;31823603;1550;49;1694;0,173497294618782;0,259259259259259;1690;0,137547410406818;0,259259259259259;0;325
"336";115;43;116;218;32,54589844;82,92541504;94950263;555415048;1550;2898;2961;0,0241740843753019;0;2968;0,0239361163675965;0;0;336
"338";6;37;7;37;108,1806641;0,096191406;183421331;267565;346;225;499;0,116948936203671;0,217391304347826;500;0,113065532011576;0,217391304347826;0;338
