"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"1";2;5571;2048;4608;7;0,841886116991581;9;0,675898138223918;723;38073;3937,87766442788;4752000;1810,19335983756;0
"2";0;5571;2048;4608;9;0,432225026042331;14;0,676619166618223;12287;38073;3939,29187799026;3801600;1810,19335983756;0
"3";179396;5571;28672;4608;6;0,552786404500042;8;0,481437021158268;20795;38073;122912,836239752;1382400;17015,8175824731;0
"4";723606;5571;67584;4608;9;0,432225026042331;10;0,757464374963667;18781;38073;507727,417629283;172800;44530,756652004;0
"5";947;5571;1024;4608;7;0,683772233983162;20;0,467709352577623;39754;38073;3269,6617562066;10108800;2534,27070377259;0
"6";401872;5571;49152;4608;6;0,552786404500042;20;0,607558035899363;7347;38073;280227,12449101;0;31497,3644611736;0
"7";8594770;5571;5440256;4608;7;0,552786404500042;9;0,633320601188716;72085;38073;6073480,85786071;432000;3843583,56094309;0
"8";4;5571;2048;4608;10;0,722649901887385;11;0,752463114255831;7593;38073;3936,46345086551;172800;1810,19335983756;0
"9";2;5571;2048;4608;9;0,432225026042331;18;0,592954210794653;28391;38073;3937,87766442788;3456000;1810,19335983756;0
"10";10;5571;2048;4608;7;0,841886116991581;13;0,459547181066746;3107;38073;3932,22081017839;0;1810,19335983756;0
"11";0;5571;2048;4608;7;0,683772233983162;12;0,455418851362829;10038;38073;3939,29187799026;11059200;1810,19335983756;0
"12";0;5571;1024;4608;8;0,558058261758408;12;0,766619985995332;20530;38073;3939,29187799026;9849600;2534,27070377259;0
"13";43961;5571;16896;4608;6;0,552786404500042;15;0,630136639272345;19204;38073;27145,8293297516;0;8688,9281272203;0
"14";559;5571;2048;4608;7;0,683772233983162;18;0,445563006729672;7535;38073;3544,01918730698;259200;1810,19335983756;0
"15";9208;5571;2048;4608;7;0,683772233983162;6;0,353238333236445;14354;38073;2571,74736317547;172800;1810,19335983756;0
"16";2205;5571;1536;4608;8;0,558058261758408;16;0,474894968489496;40365;38073;2380,12142547392;172800;2172,23203180507;0
"17";0;5571;512;4608;6;0,599108137131363;11;0,443706088833409;12525;38073;3939,29187799026;50025600;2896,3093757401;0
"18";0;5571;512;4608;7;0,552786404500042;18;0,626420414053772;6009;38073;3939,29187799026;22204800;2896,3093757401;0
"19";6;5571;2048;4608;9;0,432225026042331;7;0,311153279806336;4173;38073;3935,04923730314;3801600;1810,19335983756;0
"20";12500;5571;2048;4608;7;0,683772233983162;8;0,514928749927334;18510;38073;4899,54288684159;172800;1810,19335983756;0
"21";0;5571;3072;4608;6;0,552786404500042;8;0,62426542534891;28875;38073;3939,29187799026;1382400;1086,11601590254;0
"22";35;5571;2048;4608;7;0,683772233983162;6;0,488109303111009;18975;38073;3914,54314064873;172800;1810,19335983756;0
"23";94;5571;2048;4608;7;0,841886116991581;17;0,422649730810374;1490;38073;3872,82384055872;0;1810,19335983756;0
"24";1874142;5571;924160;4608;7;0,841886116991581;7;0,634363787936435;4641;38073;1321279,22522853;0;650221,454853652;0
"25";2039;5571;2560;4608;6;0,552786404500042;16;0,754023981492764;7281;38073;2497,50115115089;1382400;1448,15468787005;0
"26";12;5571;2048;4608;7;0,841886116991581;12;0,614128183429355;1821;38073;3930,80659661602;0;1810,19335983756;0
"27";0;5571;2048;4608;7;0,841886116991581;7;0,675898138223918;2330;38073;3939,29187799026;6480000;1810,19335983756;0
"28";52495;5571;8192;4608;7;0,841886116991581;8;0,358311052080252;1419;38073;33180,2786003976;0;2534,27070377259;0
"29";0;5571;2048;4608;6;0,552786404500042;18;0,43863910857616;7308;38073;3939,29187799026;1382400;1810,19335983756;0
"30";12;5571;2048;4608;6;0,552786404500042;9;0,579915974791597;5829;38073;3930,80659661602;950400;1810,19335983756;0
"31";0;5571;2048;4608;7;0,841886116991581;13;0,390150421383355;497;38073;3939,29187799026;6480000;1810,19335983756;0
"32";1354;5571;4096;4608;6;0,552786404500042;14;0,678160657066532;40051;38073;2981,86929626367;0;362,038671967512;0
"33";1808;5571;512;4608;8;0,558058261758408;11;0,534621079004483;19130;38073;2660,84281760498;9849600;2896,3093757401;0
"34";0;5571;6144;4608;9;0,432225026042331;6;0,414982060698295;4258;38073;3939,29187799026;3801600;1086,11601590254;0
"35";42216;5571;10240;4608;7;0,552786404500042;12;0,549043966070067;40605;38073;25911,927996581;518400;3982,42539164264;0
"36";1;5571;2048;4608;9;0,432225026042331;11;0,443706088833409;5280;38073;3938,58477120907;3801600;1810,19335983756;0
"37";0;5571;2048;4608;7;0,841886116991581;18;0,565250934168824;3451;38073;3939,29187799026;0;1810,19335983756;0
"38";12117;5571;1792;4608;8;0,558058261758408;11;0,504926228511663;27118;38073;4628,72098964714;9849600;1991,21269582132;0
"39";7;5571;2048;4608;9;0,432225026042331;9;0,675898138223918;4438;38073;3934,34213052195;3801600;1810,19335983756;0
"40";19;5571;2048;4608;7;0,841886116991581;10;0,511906469908024;672;38073;3925,85684914771;518400;1810,19335983756;0
"41";107858;5571;11776;4608;6;0,552786404500042;12;0,595773958272778;20412;38073;72327,8313272284;0;5068,54140754517;0
"42";52;5571;2048;4608;6;0,552786404500042;13;0,619478804676405;19323;38073;3902,52232536856;0;1810,19335983756;0
"43";13439;5571;2048;4608;10;0,722649901887385;17;0,354726169729242;15159;38073;5563,51615437576;172800;1810,19335983756;0
"44";0;5571;2048;4608;9;0,432225026042331;15;0,638449236968906;8828;38073;3939,29187799026;3801600;1810,19335983756;0
"45";5;5571;1024;4608;8;0,558058261758408;16;0,320561387140456;19690;38073;3935,75634408432;172800;2534,27070377259;0
