"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"1";1;37;7;37;36,53808594;0,096191406;178861265;267565;49;225;503;0,150872410473053;0,0909090909090909;501;0,10891430021756;0,0909090909090909;0;1
"2";1;1;7;5;36,53808594;110,0444336;178861265;324500732;49;257;60;0,33068609866818;0,333333333333333;68;0,255278892750063;0,285714285714286;0;2
"3";1;115;7;116;36,53808594;32,54589844;178861265;94950263;49;1550;1694;0,173497294618782;0,259259259259259;1690;0,137547410406818;0,259259259259259;0;3
"5";1;0;7;3;36,53808594;0,005859375;178861265;0;49;234;63;0,2569225518376;0,380952380952381;69;0,207635798292001;0,318181818181818;0;5
"6";1;21;7;23;36,53808594;25,47961426;178861265;191401724;49;266;233;0,169097163202322;0,173913043478261;241;0,135797107930023;0,173913043478261;0;6
"7";1;3;7;4;36,53808594;0,091308594;178861265;1508484;49;12;62;0,295904701876405;0,333333333333333;69;0,253941484080879;0,238095238095238;0;7
"8";1;42;7;43;36,53808594;1,466552734;178861265;8037560;49;385;536;0,171683426510174;0,166666666666667;537;0,126968111949979;0,166666666666667;0;8
"10";1;131;7;137;36,53808594;36,85131836;178861265;158644947;49;957;2512;0,179089727694221;0,2;2518;0,132110180108568;0,2;0;10
"12";1;4;7;12;36,53808594;0,014160156;178861265;1537;49;99;101;0,149073967120694;0,0952380952380952;107;0,105938966938296;0,0952380952380952;0;12
"13";1;21;7;23;36,53808594;0,0859375;178861265;111;49;125;255;0,137041083721035;0,173913043478261;260;0,0941829354195534;0,173913043478261;0;13
"14";1;9;7;13;36,53808594;0,063476563;178861265;177599;49;117;139;0,167622953594206;0,227272727272727;140;0,138911542004685;0,227272727272727;0;14
"15";1;0;7;4;36,53808594;0,010986328;178861265;10597;49;196;58;0,216476629000973;0,454545454545455;66;0,231679004514676;0,409090909090909;0;15
"16";1;0;7;1;36,53808594;0,000976563;178861265;0;49;5;67;0,269755106527433;0,5;72;0,213096825975655;0,428571428571429;0;16
"17";1;0;7;23;36,53808594;0,024414063;178861265;1160;49;134;266;0,211802299446017;0,0909090909090909;273;0,168704506267104;0,0909090909090909;0;17
"18";1;0;7;20;36,53808594;0,01953125;178861265;400;49;107;209;0,155529376891287;0,0909090909090909;213;0,108146084018629;0,0909090909090909;0;18
"19";1;4;7;15;36,53808594;6,963623047;178861265;26432122;49;151;212;0,212866681658444;0,0909090909090909;213;0,160701967524001;0,0909090909090909;0;19
"24";1;0;7;8;36,53808594;0,0078125;178861265;0;49;37;90;0,214522122098833;0,272727272727273;97;0,195390687550975;0,227272727272727;0;24
"25";1;0;7;2;36,53808594;0,002685547;178861265;18940;49;11;67;0,363452211605615;0,476190476190476;72;0,363214217369497;0,476190476190476;0;25
"28";1;10;7;17;36,53808594;1,505371094;178861265;1572013;49;87;162;0,129913182539172;0,136363636363636;161;0,108611949612099;0,136363636363636;0;28
"30";1;4;7;33;36,53808594;3,3203125;178861265;7064804;49;227;420;0,195978538072297;0,208333333333333;421;0,149676117001823;0,208333333333333;0;30
"31";1;2;7;10;36,53808594;0,009277344;178861265;3608;49;48;103;0,138827003561399;0,136363636363636;105;0,107117065636081;0,136363636363636;0;31
"32";1;2;7;33;36,53808594;0,077636719;178861265;101813;49;264;377;0,0783832501927153;0,166666666666667;376;0,0503317082752713;0,2;0;32
"33";1;8;7;54;36,53808594;18,13964844;178861265;101977158;49;915;842;0,197675201779016;0,2;841;0,149137368344717;0,2;0;33
"35";1;0;7;4;36,53808594;0,017578125;178861265;0;49;35;62;0,320048336409455;0,454545454545455;72;0,242575376997358;0,318181818181818;0;35
"40";1;10;7;10;36,53808594;1,998046875;178861265;5758248;49;76;113;0,117623506843828;0,227272727272727;119;0,0935911806159483;0,227272727272727;0;40
"41";1;25;7;45;36,53808594;791,5610352;178861265;2803997559;49;1044;626;0,181900594027176;0,2;625;0,144267062593616;0,2;0;41
"42";1;17;7;17;36,53808594;173,2897949;178861265;901232511;49;423;199;0,192415159448512;0,173913043478261;206;0,147400546543636;0,259259259259259;0;42
"43";1;1;7;18;36,53808594;0,004394531;178861265;379731;49;199;164;0,178179618491466;0,0952380952380952;168;0,137491310932627;0,0952380952380952;0;43
"45";1;97;7;99;36,53808594;0,277832031;178861265;1068597;49;690;1687;0,180037178267148;0,2;1689;0,138539230621974;0,2;0;45
"46";1;25;7;86;36,53808594;0,37109375;178861265;4698;49;497;1580;0,222605131641536;0,166666666666667;1575;0,169608869799981;0,166666666666667;0;46
"47";1;0;7;2;36,53808594;0,001953125;178861265;1522;49;9;64;0,29784144858407;0,409090909090909;66;0,217088466695371;0,363636363636364;0;47
"48";1;0;7;1;36,53808594;7,303710938;178861265;0;49;81;70;0,582746217004015;0,619047619047619;77;0,41902564027539;0,428571428571429;0;48
"49";1;0;7;3;36,53808594;70,88671875;178861265;128962977;49;234;63;0,2569225518376;0,380952380952381;69;0,207635798292001;0,318181818181818;0;49
"51";1;203;7;451;36,53808594;3229,061768;178861265;12469817823;49;4621;8331;0,15764212805174;0,259259259259259;8326;0,113925615393951;0,259259259259259;0;51
"53";1;0;7;32;36,53808594;0,296875;178861265;0;49;662;448;0,183572040477253;0,166666666666667;451;0,150355196463492;0,166666666666667;0;53
"54";1;0;7;1;36,53808594;0,006835938;178861265;23656;49;16;66;0,418013450610848;0,55;72;0,300416212503352;0,4;0;54
"55";1;0;7;32;36,53808594;0,12109375;178861265;0;49;693;448;0,183572040477253;0,166666666666667;451;0,150353825742154;0,166666666666667;0;55
"56";1;1;7;55;36,53808594;222,0068359;178861265;1232589939;49;1506;883;0,25202678203122;0,166666666666667;884;0,221768900673425;0,166666666666667;0;56
"57";1;29;7;71;36,53808594;0,123535156;178861265;10526;49;454;1238;0,178486977464993;0,2;1235;0,133156632374823;0,2;0;57
"58";1;0;7;1;36,53808594;0,000976563;178861265;0;49;5;67;0,269755106527433;0,5;74;0,187436833423779;0,333333333333333;0;58
"59";1;2;7;4;36,53808594;163,7275391;178861265;2895538;49;35;62;0,320048336409455;0,454545454545455;72;0,242575376997358;0,318181818181818;0;59
"60";1;0;7;6;36,53808594;6,135742188;178861265;38458211;49;52;39;0,105236511441255;0,0952380952380952;39;0,083906334476334;0,0952380952380952;0;60
