"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"20";1;0;7;5;36,53808594;0,004882813;178861265;0;49;78;57;0,227249255192499;0,285714285714286;65;0,21049733677971;0,285714285714286;0;20
"21";1;19;7;20;36,53808594;0,102783203;178861265;3853621;49;236;188;0,169763783894315;0,0952380952380952;191;0,131035923253835;0,0952380952380952;0;21
"27";1;0;7;15;36,53808594;1,53515625;178861265;13208944;49;254;206;0,187565389947823;0,208333333333333;206;0,140858587075211;0,208333333333333;0;27
"34";1;30;7;30;36,53808594;0,030273438;178861265;49;49;198;419;0,1754591044644;0,166666666666667;417;0,128409420455301;0,166666666666667;0;34
"37";1;21;7;22;36,53808594;0,544921875;178861265;1976882;49;182;275;0,114410593521432;0,130434782608696;276;0,081894000257003;0,130434782608696;0;37
"38";1;5;7;17;36,53808594;0,056640625;178861265;387853;49;126;178;0,124332198385394;0,173913043478261;180;0,0918994465492308;0,173913043478261;0;38
"50";1;20;7;26;36,53808594;3,305664063;178861265;19463669;49;180;262;0,0881504204442022;0,130434782608696;266;0,0557735921497903;0,130434782608696;0;50
"52";1;0;7;22;36,53808594;77,4609375;178861265;259709350;49;618;347;0,258016248076191;0,173913043478261;352;0,218938284254151;0,173913043478261;0;52
"65";1;0;7;9;36,53808594;0,013427734;178861265;157469;49;36;82;0,203280037707148;0,272727272727273;87;0,158312587393458;0,272727272727273;0;65
"78";1;0;7;81;36,53808594;2,236083984;178861265;11850966;49;576;1351;0,187952487596222;0,2;1352;0,135889381459381;0,2;0;78
"81";1;0;7;17;36,53808594;0;178861265;371368;49;185;151;0,17543227991544;0,0952380952380952;154;0,133739666229914;0,0952380952380952;0;81
"96";37;4;37;12;0,096191406;0,014160156;267565;1537;225;99;472;0,044391561854263;0,0909090909090909;474;0,0464866150168549;0,0909090909090909;0;96
"105";37;19;37;20;0,096191406;0,102783203;267565;3853621;225;236;435;0,0293437684522114;0,0909090909090909;440;0,0281310920726374;0,0909090909090909;0;105
"106";37;0;37;34;0,096191406;0,13671875;267565;26741;225;204;439;0,0427359612805529;0,0454545454545454;444;0,0460942134181194;0,0454545454545454;0;106
"107";37;5;37;48;0,096191406;0,04296875;267565;187;225;267;555;0,0610506119125968;0,0833333333333334;560;0,0610609132297417;0,0833333333333334;0;107
"112";37;10;37;17;0,096191406;1,505371094;267565;1572013;225;87;438;0,0716087323367637;0,130434782608696;443;0,0724409899087365;0,130434782608696;0;112
"116";37;2;37;33;0,096191406;0,077636719;267565;101813;225;264;392;0,0419624335768889;0,0833333333333334;398;0,0430087966121847;0,12;0;116
"129";37;97;37;99;0,096191406;0,277832031;267565;1068597;225;690;1348;0,0508566221830781;0,12;1355;0,0510378947562855;0,12;0;129
"130";37;25;37;86;0,096191406;0,37109375;267565;4698;225;497;1261;0,0357219605147179;0,0833333333333334;1261;0,0370875531007736;0,0833333333333334;0;130
"131";37;0;37;2;0,096191406;0,001953125;267565;1522;225;9;551;0,123782900153065;0,458333333333333;551;0,0953982672305278;0,416666666666667;0;131
"138";37;0;37;1;0,096191406;0,006835938;267565;23656;225;16;564;0,247934853674367;0,590909090909091;560;0,23888843191697;0,454545454545455;0;138
"144";37;0;37;6;0,096191406;6,135742188;267565;38458211;225;52;518;0,106148806364671;0,0909090909090909;516;0,0656872355531865;0,0909090909090909;0;144
"146";37;0;37;1;0,096191406;0,001464844;267565;16910;225;2;569;0,369049402226112;0,636363636363636;572;0,327946717661199;0,5;0;146
"150";37;0;37;9;0,096191406;0,006225586;267565;27941;225;41;496;0,110826740017848;0,181818181818182;499;0,126834998190809;0,181818181818182;0;150
"151";37;1;37;16;0,096191406;0,014648438;267565;0;225;67;451;0,0525887715423063;0,125;456;0,0525232447274314;0,125;0;151
"159";37;0;37;2;0,096191406;0;267565;129840424;225;187;562;0,209241297885817;0,454545454545455;561;0,16829605630927;0,363636363636364;0;159
"168";37;43;37;218;0,096191406;82,92541504;267565;555415048;225;2898;3516;0,0405227444872528;0,185185185185185;3524;0,0419021668575191;0,185185185185185;0;168
"175";1;3;5;4;110,0444336;0,091308594;324500732;1508484;257;12;52;0,321432824347089;0,421052631578947;59;0,260635712837357;0,35;0;175
"187";1;4;5;15;110,0444336;6,963623047;324500732;26432122;257;151;221;0,288644298778031;0,318181818181818;218;0,24473677753298;0,272727272727273;0;187
"195";1;0;5;15;110,0444336;1,53515625;324500732;13208944;257;254;220;0,306658300108637;0,416666666666667;221;0,275027846493118;0,375;0;195
"199";1;2;5;10;110,0444336;0,009277344;324500732;3608;257;48;106;0,36529172772596;0,363636363636364;111;0,298216373365856;0,318181818181818;0;199
"204";1;20;5;65;110,0444336;8,503417969;324500732;41627253;257;650;1053;0,257873197002108;0,4;1052;0,221765690691303;0,36;0;204
"208";1;10;5;10;110,0444336;1,998046875;324500732;5758248;257;76;121;0,362529129144297;0,454545454545455;125;0,310358349038504;0,409090909090909;0;208
"210";1;17;5;17;110,0444336;173,2897949;324500732;901232511;257;423;216;0,287500430223628;0,318181818181818;218;0,218277722649258;0,407407407407407;0;210
"217";1;0;5;3;110,0444336;70,88671875;324500732;128962977;257;234;41;0,407440538721517;0,388888888888889;50;0,326770908180624;0,5;0;217
"219";1;203;5;451;110,0444336;3229,061768;324500732;12469817823;257;4621;8355;0,267554159847778;0,444444444444444;8350;0,213503438191668;0,407407407407407;0;219
"223";1;0;5;32;110,0444336;0,12109375;324500732;0;257;693;471;0,304020842920622;0,375;469;0,236415829517878;0,333333333333333;0;223
"228";1;0;5;6;110,0444336;6,135742188;324500732;38458211;257;52;54;0,289358218913002;0,333333333333333;62;0,249754730267399;0,285714285714286;0;228
"229";1;0;5;3;110,0444336;0,001464844;324500732;0;257;12;48;0,284362551214461;0,277777777777778;54;0,247745121658688;0,222222222222222;0;229
"233";1;0;5;9;110,0444336;0,013427734;324500732;157469;257;36;93;0,411920274569527;0,428571428571429;92;0,361795163141934;0,380952380952381;0;233
"237";1;60;5;233;110,0444336;23,05102539;324500732;75866302;257;1791;3804;0,289670444599449;0,444444444444444;3808;0,238287524214473;0,407407407407407;0;237
"239";1;0;5;9;110,0444336;0,007202148;324500732;29129;257;46;102;0,333116021094954;0,315789473684211;106;0,286524408946988;0,263157894736842;0;239
"248";1;0;5;86;110,0444336;2,692871094;324500732;24613804;257;651;1425;0,296501396510625;0,375;1423;0,251837239522144;0,333333333333333;0;248
"252";1;43;5;218;110,0444336;82,92541504;324500732;555415048;257;2898;3939;0,330222313356735;0,444444444444444;3940;0,276432294322904;0,407407407407407;0;252
"256";115;6;116;7;32,54589844;108,1806641;94950263;183421331;1550;346;1682;0,157273889388133;0,296296296296296;1678;0,156993647736224;0,296296296296296;0;256
"260";115;42;116;43;32,54589844;1,466552734;94950263;8037560;1550;385;1364;0,0406698568151407;0,111111111111111;1364;0,0391321854939547;0,111111111111111;0;260
"261";115;67;116;70;32,54589844;0,798095703;94950263;3218891;1550;397;1228;0,0288738748069272;0,111111111111111;1228;0,0285953038675306;0,111111111111111;0;261
"270";115;0;116;20;32,54589844;0,01953125;94950263;400;1550;107;1539;0,0543622468092962;0,185185185185185;1539;0,0474836596019718;0,185185185185185;0;270
"272";115;0;116;5;32,54589844;0,004882813;94950263;0;1550;78;1732;0,149054501696841;0,407407407407407;1732;0,191598976828523;0,407407407407407;0;272
"276";115;0;116;8;32,54589844;0,0078125;94950263;0;1550;37;1651;0,0759872723448758;0,333333333333333;1646;0,0806055021759642;0,296296296296296;0;276
"279";115;0;116;15;32,54589844;1,53515625;94950263;13208944;1550;254;1547;0,041802912064446;0,148148148148148;1547;0,0435657279545497;0,148148148148148;0;279
"282";115;4;116;33;32,54589844;3,3203125;94950263;7064804;1550;227;1422;0,0984558038851985;0,148148148148148;1425;0,0965073604516835;0,148148148148148;0;282
"284";115;2;116;33;32,54589844;0,077636719;94950263;101813;1550;264;1427;0,062582951491588;0,111111111111111;1429;0,0605977889921796;0,0740740740740741;0;284
"286";115;30;116;30;32,54589844;0,030273438;94950263;49;1550;198;1428;0,0524336304021173;0,111111111111111;1432;0,0523672527790309;0,111111111111111;0;286
"287";115;0;116;4;32,54589844;0,017578125;94950263;0;1550;35;1717;0,142772663908558;0,481481481481482;1710;0,143870560574812;0,37037037037037;0;287
"290";115;5;116;17;32,54589844;0,056640625;94950263;387853;1550;126;1562;0,0719660209926171;0,185185185185185;1563;0,0757436594618182;0,185185185185185;0;290
"291";115;4;116;19;32,54589844;0,009277344;94950263;1;1550;138;1510;0,0607019639280494;0,222222222222222;1508;0,060881691698117;0,222222222222222;0;291
"292";115;10;116;10;32,54589844;1,998046875;94950263;5758248;1550;76;1624;0,0751102726607747;0,296296296296296;1624;0,0783572684364174;0,296296296296296;0;292
"294";115;17;116;17;32,54589844;173,2897949;94950263;901232511;1550;423;1555;0,0401293108080024;0,185185185185185;1553;0,0356217736996436;0,258064516129032;0;294
"297";115;97;116;99;32,54589844;0,277832031;94950263;1068597;1550;690;1310;0,0419915048936833;0,0740740740740741;1316;0,0406957470536378;0,0740740740740741;0;297
"305";115;0;116;32;32,54589844;0,296875;94950263;0;1550;662;1402;0,0208038341888093;0,111111111111111;1401;0,0212617175375308;0,111111111111111;0;305
"310";115;0;116;1;32,54589844;0,000976563;94950263;0;1550;5;1757;0,217356004134951;0,62962962962963;1754;0,175904500560002;0,444444444444444;0;310
"315";115;0;116;1;32,54589844;0,000244141;94950263;48;1550;6;1762;0,50759570207001;0,740740740740741;1761;0,345600427360422;0,62962962962963;0;315
"324";115;0;116;10;32,54589844;0,017496245;94950263;58928;1550;96;1624;0,172426105490999;0,37037037037037;1624;0,183251504555714;0,37037037037037;0;324
"330";115;0;116;81;32,54589844;2,236083984;94950263;11850966;1550;576;1220;0,0416129266235711;0,0740740740740741;1225;0,0416570583073823;0,0740740740740741;0;330
"333";115;0;116;17;32,54589844;0;94950263;371368;1550;185;1586;0,0473253419255271;0,259259259259259;1585;0,0446097703180863;0,259259259259259;0;333
"340";6;115;7;116;108,1806641;32,54589844;183421331;94950263;346;1550;1682;0,157273889388133;0,296296296296296;1678;0,156993647736224;0,296296296296296;0;340
"347";6;182;7;1;108,1806641;1,797607422;183421331;7556996;346;1435;87;0,849648174330752;0,91304347826087;92;0,585775701537202;0,652173913043478;0;347
"348";6;4;7;12;108,1806641;0,014160156;183421331;1537;346;99;101;0,116009268229276;0,142857142857143;107;0,103954757733503;0,142857142857143;0;348
"350";6;9;7;13;108,1806641;0,063476563;183421331;177599;346;117;133;0,139355662444741;0,19047619047619;137;0,124490317409091;0,19047619047619;0;350
"351";6;0;7;4;108,1806641;0,010986328;183421331;10597;346;196;65;0,262819566202196;0,35;73;0,264387326535268;0,3;0;351
"352";6;0;7;1;108,1806641;0,000976563;183421331;0;346;5;76;0,292266258340481;0,473684210526316;79;0,288494429046137;0,315789473684211;0;352
"357";6;19;7;20;108,1806641;0,102783203;183421331;3853621;346;236;179;0,141142392710542;0,142857142857143;185;0,129454216324005;0,142857142857143;0;357
"358";6;0;7;34;108,1806641;0,13671875;183421331;26741;346;204;471;0,15894378343491;0,181818181818182;470;0,155880786317795;0,181818181818182;0;358
"370";6;30;7;30;108,1806641;0,030273438;183421331;49;346;198;405;0,128070820308785;0,208333333333333;406;0,105888817104152;0,208333333333333;0;370
"371";6;0;7;4;108,1806641;0,017578125;183421331;0;346;35;67;0,22737359135899;0,35;75;0,225133215889942;0,363636363636364;0;371
